Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code Regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ;HSD;Montants remboursés;Catégorie d'acte;Sous-catégorie d'acte
FFSA001;FFSA00140;Hémostase splénique avec conservation de la rate, par laparotomie;4;0;ADA;283.95 €;283.95 €;88;19 882 €;19 882 €;Autres Actes de Chirurgie;Actes chirurgicaux
FFSA001;FFSA00110;Hémostase splénique avec conservation de la rate, par laparotomie;1;0;ADC;399.17 €;332.10 €;90;22 217 €;22 207 €;Autres Actes de Chirurgie;Actes chirurgicaux
FGLB001;FGLB00110;Séance d'injection d'extrait allergénique à concentration donnée pour désensibilisation spécifique, par voie souscutanée;1;0;ATM;12.34 €;12.34 €;48 597;583 913 €;404 363 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
FGLB002;FGLB00210;Injection d'extrait allergénique à concentration croissante par voie souscutanée, jusqu'à obtention de la dose d'entretien pour désensibilisation spécifique par méthode semiaccélérée ou accélérée [semirush ou rush];1;0;ATM;85.15 €;53.02 €;1 923;152 983 €;114 622 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
FGLB004;FGLB00410;Séance d'injection ou d'ingestion d'un médicament à concentration croissante pour accoutumance;1;0;ATM;112.91 €;67.91 €;1 445;112 499 €;84 872 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
FGRB001;FGRB00110;Test allergologique par injection intradermique de plusieurs substances administrées à concentration croissante avec au moins 2 dilutions;1;0;ATM;45.04 €;38.22 €;11 694;481 462 €;344 989 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRB002;FGRB00210;Test allergologique par injection intradermique d'une substance administrée à concentration croissante;1;0;ATM;37.02 €;33.57 €;5 812;189 099 €;134 588 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRB003;FGRB00310;Test allergologique par piqûre épidermique avec des substances administrées à concentration fixe;1;0;ATM;28.80 €;28.80 €;626 370;12 291 041 €;8 537 225 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRB004;FGRB00410;Test allergologique par piqûre épidermique avec des aliments natifs;1;0;ATM;37.02 €;33.57 €;279 202;9 757 853 €;6 800 928 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRB005;FGRB00510;Test allergologique par injection intradermique de substances administrées à concentration fixe;1;0;ATM;33.94 €;31.77 €;12 770;357 334 €;251 365 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRB006;FGRB00610;Test d'introduction ou de réintroduction d'un allergène par injection à concentration fixe;1;0;ATM;28.80 €;28.80 €;360;8 846 €;6 139 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRB007;FGRB00710;Test d'introduction ou de réintroduction d'un allergène par injection à concentration croissante;1;0;ATM;59.85 €;46.81 €;1 425;77 165 €;55 260 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRD002;FGRD00210;Test de provocation par ingestion d'un allergène à concentration fixe;1;0;ATM;42.57 €;36.79 €;1 547;61 585 €;42 920 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRD003;FGRD00310;Test de provocation par ingestion d'un allergène administré à concentration croissante;1;0;ATM;59.23 €;46.45 €;2 776;138 100 €;102 230 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRD004;FGRD00410;Test de provocation par allergène administré à concentration croissante par voie nasale;1;0;ATM;33.94 €;31.77 €;385;12 305 €;8 536 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRP003;FGRP00310;Test allergologique épicutané en chambre close [Patch test] par tests orientés;1;0;ATM;37.64 €;29.89 €;8 806;302 929 €;212 765 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRP005;FGRP00510;Test allergologique épicutané en chambre close [Patch test] par batterie standard et tests orientés;1;0;ATM;45.04 €;38.22 €;40 156;1 754 308 €;1 235 093 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRP006;FGRP00610;Test allergologique de provocation par plusieurs aliments natifs administrés par contact labial;1;0;ATM;33.94 €;31.77 €;1 435;27 519 €;19 481 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRP007;FGRP00710;Test allergologique épicutané en chambre close [Patch test] par batterie standard et/ou batterie complémentaire;1;0;ATM;30.85 €;25.95 €;4 442;122 034 €;85 206 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRP009;FGRP00910;Test de provocation conjonctival par allergène administré à concentration croissante;1;0;ATM;28.80 €;28.80 €;721;15 915 €;11 177 €;Test allergologique;Actes techniques médicaux diagnostiques
FGRP010;FGRP01010;Tests vasomoteurs de stimulation cutanée pour rhinite;1;0;ATM;31.57 €;26.37 €;339;6 690 €;4 693 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GABD001;GABD00110;Tamponnement nasal antérieur et postérieur;1;0;ATM;56.21 €;40.66 €;6 839;370 408 €;299 715 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GABD002;GABD00210;Tamponnement nasal antérieur;1;0;ATM;27.72 €;24.14 €;13 717;407 080 €;322 719 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAEA001;GAEA00140;Repositionnement de fragment de nez amputé, sans anastomose vasculaire;4;0;ADA;79.36 €;79.36 €;12;981 €;981 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAEA001;GAEA00110;Repositionnement de fragment de nez amputé, sans anastomose vasculaire;1;0;ADC;133.29 €;103.65 €;18;1 845 €;1 835 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAEA002;GAEA00240;Réimplantation de fragment de nez, avec anastomoses vasculaires;4;0;ADA;137.37 €;137.37 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
GAEA002;GAEA00210;Réimplantation de fragment de nez, avec anastomoses vasculaires;1;0;ADC;475.03 €;380.86 €;4;796 €;796 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA001;GAFA00110;Excision ou décortication d'un rhinophyma, avec laser;1;0;ADC;102.81 €;85.96 €;130;11 311 €;9 245 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA002;GAFA00240;Exérèse subtotale ou totale [amputation] de la pointe et/ou de l'aile du nez;4;0;ADA;65.25 €;65.25 €;1 330;59 868 €;59 850 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA002;GAFA00210;Exérèse subtotale ou totale [amputation] de la pointe et/ou de l'aile du nez;1;0;ADC;125.40 €;125.40 €;1 843;147 104 €;146 930 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA003;GAFA00310;Excision ou décortication d'un rhinophyma, sans laser;1;0;ADC;102.81 €;85.96 €;72;6 109 €;5 717 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA004;GAFA00440;Amputation de la pyramide nasale étendue au philtrum et/ou à la joue;4;0;ADA;95.30 €;95.30 €;19;1 448 €;1 448 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA004;GAFA00410;Amputation de la pyramide nasale étendue au philtrum et/ou à la joue;1;0;ADC;190.01 €;162.87 €;38;4 397 €;4 386 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA005;GAFA00540;Exérèse transfixiante de lésion de la peau du nez et/ou de la muqueuse narinaire;4;0;ADA;66.71 €;66.71 €;1 309;61 118 €;61 108 €;Exérèse de lésion cutanée, sous cutanée ou des tissus mous;Actes techniques médicaux thérapeutiques
GAFA005;GAFA00510;Exérèse transfixiante de lésion de la peau du nez et/ou de la muqueuse narinaire;1;0;ADC;125.40 €;125.40 €;2 026;173 001 €;172 547 €;Exérèse de lésion cutanée, sous cutanée ou des tissus mous;Actes techniques médicaux thérapeutiques
GAFA006;GAFA00640;Exérèse de lésion ou de malformation de la cavité nasale, par abord paralatéronasal;4;0;ADA;138.56 €;138.56 €;27;3 785 €;3 785 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA006;GAFA00610;Exérèse de lésion ou de malformation de la cavité nasale, par abord paralatéronasal;1;0;ADC;408.87 €;324.93 €;40;10 948 €;10 917 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA007;GAFA00710;Exérèse non transfixiante de lésion de la peau du nez ou de la muqueuse narinaire;1;0;ADC;49.13 €;40.59 €;22 264;763 425 €;606 927 €;Exérèse de lésion cutanée, sous cutanée ou des tissus mous;Actes techniques médicaux thérapeutiques
GAFA008;GAFA00840;Amputation de la pyramide nasale;4;0;ADA;95.30 €;95.30 €;31;2 380 €;2 380 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA008;GAFA00810;Amputation de la pyramide nasale;1;0;ADC;190.01 €;162.87 €;41;4 770 €;4 770 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA009;GAFA00940;Exérèse d'une fistule congénitale de la columelle nasale ou de la lèvre supérieure [philtrum];4;0;ADA;76.97 €;76.97 €;12;980 €;980 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA009;GAFA00910;Exérèse d'une fistule congénitale de la columelle nasale ou de la lèvre supérieure [philtrum];1;0;ADC;167.20 €;167.20 €;14;2 395 €;2 385 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA011;GAFA01140;Exérèse d'une fistule ou d'un kyste congénital du dos du nez, par abord facial;4;0;ADA;116.57 €;116.57 €;40;4 754 €;4 754 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFA011;GAFA01110;Exérèse d'une fistule ou d'un kyste congénital du dos du nez, par abord facial;1;0;ADC;177.25 €;173.03 €;44;7 577 €;7 559 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAFD001;GAFD00110;Exérèse de lésion ou de malformation de la cavité nasale, par voie nasale;1;0;ATM;197.89 €;132.33 €;2 107;325 140 €;322 313 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAFD002;GAFD00210;Polypectomie intranasale;1;0;ATM;64.68 €;49.61 €;2 430;96 148 €;81 340 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAGD001;GAGD00110;Ablation unilatérale ou bilatérale de prothèse de calibrage de la cavité nasale;1;0;ATM;;;384;205 €;0 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAGD002;GAGD00210;Ablation de corps étranger de la cavité nasale;1;0;ATM;35.42 €;24.58 €;2 295;58 726 €;44 853 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAHA001;GAHA00110;Biopsie de la peau du nez et/ou de la muqueuse narinaire;1;0;ADC;30.40 €;25.70 €;2 774;55 688 €;39 945 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAJA001;GAJA00140;Évacuation de collection du septum nasal;4;0;ADA;69.65 €;69.65 €;98;5 619 €;5 308 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAJA001;GAJA00110;Évacuation de collection du septum nasal;1;0;ADC;53.13 €;39.60 €;142;5 240 €;4 581 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAJA002;GAJA00210;Parage et/ou suture de plaie du nez;1;0;ADC;53.88 €;37.83 €;1 328;82 871 €;66 102 €;Autres Actes de Chirurgie;Actes chirurgicaux
GALD001;GALD00110;Pose unilatérale ou bilatérale de prothèse de calibrage de la cavité nasale;1;0;ATM;;;10;0 €;0 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GALD002;GALD00210;Pose de conformateur d'orifice narinaire;1;0;ATM;91.63 €;79.48 €;380;21 777 €;20 710 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GALP001;GALP00110;Pose d'une épithèse nasale;1;0;ATM;;;0;;;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GALP002;GALP00210;Pose préopératoire d'un appareillage orthopédique de correction d'une déformation nasale, pour fente orofaciale;1;0;ATM;268.80 €;268.80 €;2;351 €;351 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAMA001;GAMA00140;Rhinoseptoplastie sans ostéotomie, sans autogreffe de cartilage;4;0;ADA;77.71 €;77.71 €;387;29 130 €;29 105 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA001;GAMA00110;Rhinoseptoplastie sans ostéotomie, sans autogreffe de cartilage;1;0;ADC;225.46 €;218.55 €;414;93 290 €;92 969 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA002;GAMA00240;Réparation de perte de substance du nez par lambeau frontal à pédicule inférieur;4;0;ADA;132.69 €;132.69 €;354;50 175 €;50 175 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA002;GAMA00210;Réparation de perte de substance du nez par lambeau frontal à pédicule inférieur;1;0;ADC;342.45 €;330.29 €;538;175 175 €;174 920 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA003;GAMA00340;Rhinoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal;4;0;ADA;109.14 €;109.14 €;127;14 084 €;14 084 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA003;GAMA00310;Rhinoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal;1;0;ADC;257.37 €;254.61 €;131;36 112 €;36 102 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA004;GAMA00440;Rhinoseptoplastie avec ostéotomie, sans autogreffe de cartilage;4;0;ADA;87.60 €;87.60 €;1 150;101 221 €;101 100 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA004;GAMA00410;Rhinoseptoplastie avec ostéotomie, sans autogreffe de cartilage;1;0;ADC;282.89 €;251.85 €;1 241;342 663 €;342 136 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA005;GAMA00540;Plastie ostéo-cutanéo-cartilagineuse pour sténose narinaire;4;0;ADA;101.17 €;101.17 €;85;8 413 €;8 413 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA005;GAMA00510;Plastie ostéo-cutanéo-cartilagineuse pour sténose narinaire;1;0;ADC;415.03 €;310.94 €;96;35 609 €;35 561 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA006;GAMA00640;Réparation de perte de substance du nez par lambeau scalpant doublé par lambeau en charnière, lambeau frontal, et/ou autogreffe;4;0;ADA;137.83 €;137.83 €;27;3 963 €;3 963 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA006;GAMA00610;Réparation de perte de substance du nez par lambeau scalpant doublé par lambeau en charnière, lambeau frontal, et/ou autogreffe;1;0;ADC;599.81 €;479.56 €;27;15 193 €;15 193 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA007;GAMA00740;Septoplastie nasale;4;0;ADA;74.78 €;74.78 €;19 202;1 340 076 €;1 337 724 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA007;GAMA00710;Septoplastie nasale;1;0;ADC;175.56 €;154.49 €;19 744;3 245 361 €;3 239 912 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA008;GAMA00840;Rhinoplastie primitive de la pointe;4;0;ADA;76.61 €;76.61 €;97;6 482 €;6 482 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA008;GAMA00810;Rhinoplastie primitive de la pointe;1;0;ADC;209.00 €;209.00 €;114;21 724 €;21 700 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA009;GAMA00940;Plastie narinaire pour collapsus de la valve nasale interne, avec septoplastie;4;0;ADA;92.18 €;92.18 €;2 823;260 620 €;260 358 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA009;GAMA00910;Plastie narinaire pour collapsus de la valve nasale interne, avec septoplastie;1;0;ADC;284.13 €;261.36 €;2 851;824 306 €;823 257 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA010;GAMA01040;Rhinoseptoplastie avec autogreffe osseuse et cartilagineuse;4;0;ADA;118.30 €;118.30 €;230;26 928 €;26 683 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA010;GAMA01010;Rhinoseptoplastie avec autogreffe osseuse et cartilagineuse;1;0;ADC;365.14 €;317.11 €;247;84 127 €;83 333 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA011;GAMA01140;Reconstruction de la cavité nasale pour hypoplasie ou aplasie, chez l'enfant;4;0;ADA;133.70 €;133.70 €;6;831 €;831 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA011;GAMA01110;Reconstruction de la cavité nasale pour hypoplasie ou aplasie, chez l'enfant;1;0;ADC;560.56 €;430.46 €;7;3 024 €;3 003 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA012;GAMA01240;Réparation de perte de substance du nez par lambeau régional;4;0;ADA;107.77 €;107.77 €;3 145;366 964 €;366 931 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA012;GAMA01210;Réparation de perte de substance du nez par lambeau régional;1;0;ADC;210.57 €;202.45 €;4 445;900 207 €;900 286 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA013;GAMA01340;Rhinoplastie avec ostéotomie et autogreffe de cartilage de septum nasal;4;0;ADA;123.06 €;123.06 €;190;23 548 €;23 418 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA013;GAMA01310;Rhinoplastie avec ostéotomie et autogreffe de cartilage de septum nasal;1;0;ADC;322.60 €;292.44 €;208;65 073 €;64 684 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA014;GAMA01440;Réparation de perte de substance du nez par lambeau scalpant;4;0;ADA;130.50 €;130.50 €;6;868 €;868 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA014;GAMA01410;Réparation de perte de substance du nez par lambeau scalpant;1;0;ADC;514.03 €;429.80 €;8;4 143 €;4 143 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA015;GAMA01540;Plastie narinaire pour collapsus de la valve nasale interne;4;0;ADA;72.21 €;72.21 €;308;17 017 €;16 926 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA015;GAMA01510;Plastie narinaire pour collapsus de la valve nasale interne;1;0;ADC;181.72 €;175.62 €;334;50 585 €;50 181 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA016;GAMA01640;Rhinoseptoplastie avec ostéotomie et autogreffe de cartilage de septum nasal;4;0;ADA;119.04 €;119.04 €;1 979;238 827 €;238 416 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA016;GAMA01610;Rhinoseptoplastie avec ostéotomie et autogreffe de cartilage de septum nasal;1;0;ADC;347.41 €;306.83 €;2 088;719 776 €;718 377 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA017;GAMA01740;Plastie des orifices piriformes du nez chez le nourrisson;4;0;ADA;83.96 €;83.96 €;3;236 €;236 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA017;GAMA01710;Plastie des orifices piriformes du nez chez le nourrisson;1;0;ADC;253.33 €;217.15 €;3;773 €;773 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA018;GAMA01840;Réparation de perte de substance du nez par lambeau local;4;0;ADA;98.60 €;98.60 €;4 034;423 435 €;423 336 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA018;GAMA01810;Réparation de perte de substance du nez par lambeau local;1;0;ADC;191.24 €;191.24 €;6 702;1 248 755 €;1 247 903 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA019;GAMA01940;Réparation de perte de substance du nez par autogreffe composée d'auricule;4;0;ADA;119.47 €;119.47 €;405;52 033 €;52 033 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA019;GAMA01910;Réparation de perte de substance du nez par autogreffe composée d'auricule;1;0;ADC;218.59 €;218.59 €;457;106 449 €;106 283 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA020;GAMA02040;Rhinoseptoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal;4;0;ADA;87.60 €;87.60 €;201;17 655 €;17 655 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA020;GAMA02010;Rhinoseptoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal;1;0;ADC;282.89 €;251.85 €;207;59 833 €;59 833 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA021;GAMA02140;Reconstruction du nez, de l'héminez ou de la pointe de nez avec armature ostéochondrale, lambeau de couverture cutanée et lambeau de doublure muqueuse;4;0;ADA;174.20 €;174.20 €;111;20 397 €;20 397 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA021;GAMA02110;Reconstruction du nez, de l'héminez ou de la pointe de nez avec armature ostéochondrale, lambeau de couverture cutanée et lambeau de doublure muqueuse;1;0;ADC;684.89 €;542.73 €;133;80 468 €;80 448 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA022;GAMA02240;Correction secondaire du résultat esthétique d'une rhinoplastie ou d'une rhinoseptoplastie;4;0;ADA;64.52 €;64.52 €;215;12 934 €;12 880 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA022;GAMA02210;Correction secondaire du résultat esthétique d'une rhinoplastie ou d'une rhinoseptoplastie;1;0;ADC;143.93 €;136.14 €;237;32 300 €;32 277 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA023;GAMA02340;Réparation de perte de substance du nez par lambeau brachial ou antébrachial à pédicule transitoire;4;0;ADA;120.23 €;120.23 €;1;122 €;122 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA023;GAMA02310;Réparation de perte de substance du nez par lambeau brachial ou antébrachial à pédicule transitoire;1;0;ADC;479.56 €;479.56 €;2;826 €;816 €;Réparation par lambeau local ou régional;Actes chirurgicaux
GAMA024;GAMA02440;Rhinoplastie avec ostéotomie, sans autogreffe de cartilage;4;0;ADA;104.50 €;104.50 €;98;10 238 €;10 238 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA024;GAMA02410;Rhinoplastie avec ostéotomie, sans autogreffe de cartilage;1;0;ADC;257.37 €;237.05 €;108;23 908 €;23 868 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA025;GAMA02540;Correction de séquelle narinaire d'une fente labio-maxillo-palatine unilatérale;4;0;ADA;74.77 €;74.77 €;20;1 067 €;1 067 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA025;GAMA02510;Correction de séquelle narinaire d'une fente labio-maxillo-palatine unilatérale;1;0;ADC;209.86 €;191.95 €;21;4 091 €;4 091 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA026;GAMA02640;Correction de séquelle narinaire d'une fente labio-maxillo-palatine bilatérale;4;0;ADA;82.10 €;82.10 €;2;127 €;127 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAMA026;GAMA02610;Correction de séquelle narinaire d'une fente labio-maxillo-palatine bilatérale;1;0;ADC;248.15 €;214.15 €;3;579 €;579 €;Autres Actes de Chirurgie;Actes chirurgicaux
GAME001;GAME00110;Turbinoplastie ou turbinectomie inférieure et/ou moyenne unilatérale ou bilatérale, par endoscopie;1;0;ATM;77.00 €;61.12 €;15 737;881 985 €;680 808 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAME002;GAME00210;Plastie unilatérale ou bilatérale de la cavité nasale pour rhinite atrophique, par endoscopie;1;0;ATM;206.36 €;203.08 €;305;50 087 €;49 964 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAND001;GAND00110;Cautérisation unilatérale ou bilatérale de la muqueuse du cornet inférieur;1;0;ATM;34.65 €;28.16 €;10 280;254 032 €;192 593 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GAQD001;GAQD00110;Rhinomanométrie postérieure avec test de provocation;1;0;ATM;46.97 €;39.34 €;348;10 153 €;7 130 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQD002;GAQD00210;Rhinomanométrie antérieure avec test de provocation;1;0;ATM;38.50 €;34.43 €;1 791;56 715 €;40 324 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQD003;GAQD00310;Mesure de la différence de potentiel des muqueuses nasales;1;0;ATM;;;3;0 €;0 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQD004;GAQD00410;Rhinométrie acoustique sans test de provocation;1;0;ATM;30.80 €;29.96 €;675;11 690 €;8 063 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQD005;GAQD00510;Rhinomanométrie postérieure sans test de provocation;1;0;ATM;37.73 €;33.98 €;1 540;27 765 €;19 895 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQD006;GAQD00610;Rhinométrie acoustique avec test de provocation;1;0;ATM;42.35 €;36.66 €;52;1 892 €;1 324 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQD007;GAQD00710;Rhinomanométrie antérieure sans test de provocation;1;0;ATM;28.80 €;28.80 €;6 202;142 468 €;101 585 €;Épreuve fonctionnelle respiratoire;Actes techniques médicaux diagnostiques
GAQE001;GAQE00110;Endoscopie de la cavité nasale et du rhinopharynx [cavum], par voie nasale;1;0;ATM;30.80 €;30.46 €;892 744;24 434 642 €;17 704 430 €;Endoscopie de l'appareil respiratoire (voies aériennes supérieures);Actes techniques médicaux diagnostiques
GAQE003;GAQE00310;Endoscopie de la cavité nasale, par voie nasale;1;0;ATM;;;107;56 €;0 €;Endoscopie de l'appareil respiratoire (voies aériennes supérieures);Actes techniques médicaux diagnostiques
GASA001;GASA00140;Fermeture de perforation du septum nasal;4;0;ADA;72.00 €;72.00 €;44;2 012 €;2 012 €;Autres Actes de Chirurgie;Actes chirurgicaux
GASA001;GASA00110;Fermeture de perforation du septum nasal;1;0;ADC;66.22 €;64.74 €;56;2 247 €;2 121 €;Autres Actes de Chirurgie;Actes chirurgicaux
GASE001;GASE00110;Hémostase intranasale par cautérisation ou électrocoagulation, par endoscopie;1;0;ATM;26.18 €;23.25 €;32 534;481 073 €;351 504 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GASE002;GASE00210;Hémostase intranasale par injection unilatérale ou bilatérale transmuqueuse d'agent pharmacologique, par endoscopie;1;0;ATM;94.71 €;63.00 €;5 359;416 758 €;309 816 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
GBBA001;GBBA00140;Exclusion unilatérale ou bilatérale du sinus frontal par résection de la paroi postérieure [Cranialisation du sinus frontal];4;0;ADA;83.60 €;83.60 €;1;42 €;42 €;Autres Actes de Chirurgie;Actes chirurgicaux
GBBA001;GBBA00120;Exclusion unilatérale ou bilatérale du sinus frontal par résection de la paroi postérieure [Cranialisation du sinus frontal];2;0;ADC;104.50 €;104.50 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
GBBA001;GBBA00110;Exclusion unilatérale ou bilatérale du sinus frontal par résection de la paroi postérieure [Cranialisation du sinus frontal];1;0;ADC;104.50 €;104.50 €;2;113 €;113 €;Autres Actes de Chirurgie;Actes chirurgicaux
GBBA002;GBBA00240;Comblement préimplantaire sousmuqueux du sinus maxillaire;4;0;ADA;109.34 €;109.34 €;84;7 770 €;7 770 €;Agénésies et/ou Cancer;Chirurgie dentaire
GBBA002;GBBA00210;Comblement préimplantaire sousmuqueux du sinus maxillaire;1;0;ADC;240.35 €;240.35 €;206;30 568 €;26 249 €;Agénésies et/ou Cancer;Chirurgie dentaire
GBCA001;GBCA00140;Exclusion unilatérale ou bilatérale de sinus frontal par comblement;4;0;ADA;164.15 €;164.15 €;2;260 €;260 €;Autres Actes de Chirurgie;Actes chirurgicaux
GBCA001;GBCA00110;Exclusion unilatérale ou bilatérale de sinus frontal par comblement;1;0;ADC;331.87 €;280.27 €;5;1 228 €;1 217 €;Autres Actes de Chirurgie;Actes chirurgicaux
